Source,No.,Time,Length,int_time
2a03:2880:f00d:13:face:b00c:0:1823,1038627910,5863415.748274018,32837613,90027.0
2a03:2880:f00d:8:face:b00c:0:1,371430325,3155407.3495949935,14975732,47085.0
2a03:2880:f00d:115:face:b00c:0:3,104015852,1367645.289974998,4613550,21189.0
104.16.60.37,2290950302,39181851.53057499,3641902,640939.0
198.189.255.215,39937410,303168.57139800023,3076276,3478.0
10.142.143.142,2655596246,45185535.358798094,2915062,738470.0
2607:f140:400:a023:c4a0:6ac1:218d:34ca,615208918,7328372.384185002,2491397,116076.0
2a03:2880:f10d:83:face:b00c:0:25de,111317891,1475293.5963150018,2404606,22913.0
Cisco_38:a1:a0,2098757781,35488885.284463905,918078,580488.0
2a03:2880:f00d:1:face:b00c:0:1,42354275,331826.81309899956,726957,4924.0
198.189.255.214,12563329,96883.28677399998,240176,1317.0
2a03:2880:f027:13:face:b00c:0:2,64509344,1361079.2675629992,206348,22450.0
2607:f140:400:a023:e96f:45c9:4be7:981f,24615654,397192.19980199984,151126,6441.0
fe80::1,88109859,1545029.9914569994,120466,25307.0
fe80::ae4b:c800:2383:9ff0,87954694,1542262.9916290017,120142,25260.0
128.32.206.9,32326238,537481.3160870003,117114,8769.0
54.202.63.209,67419026,1202320.0966630003,111748,19722.0
2607:f8b0:4005:806::2004,236105,7560.577956000001,95620,95.0
216.98.54.23,22897322,403011.101498,93386,6588.0
216.98.62.75,3778984,54789.46506300001,77285,858.0
34.200.200.221,20006634,337750.9420929997,72106,5494.0
54.227.152.143,11073744,173942.88032100006,64874,2800.0
2607:f8b0:400e:c03::bd,31730683,482685.79681099975,63596,7928.0
2600:1406:1a:381::11e2,4508506,54317.663200999996,60558,888.0
23.203.227.178,4665810,24524.49874099999,59284,395.0
104.154.127.47,9568370,153724.97730400003,58525,2521.0
2607:f8b0:4005:805::200e,10633090,141616.957477,56626,2291.0
52.0.133.149,13298149,242245.88245600008,51131,3947.0
54.230.147.188,29595365,555065.437979,43936,9117.0
2a03:2880:f027:18:face:b00c:0:3,13816385,254095.503803,41895,4170.0
2a03:2880:f00d:110:face:b00c:0:2,2107886,13478.261495000002,38439,153.0
40.77.226.249,5725790,46866.994220000015,36903,754.0
34.206.211.125,10566089,218917.56189299998,35590,3588.0
35.186.224.47,24237364,424019.20682400005,33120,6948.0
2607:f8b0:4005:80a::200e,6913058,136910.94834400003,30808,2243.0
2a03:2880:f009:e:face:b00c:0:3,4187613,94323.908637,30501,1566.0
64.4.54.253,5350637,61886.020248,28644,1020.0
52.4.106.84,5133039,34519.72790799999,27223,519.0
64.4.54.254,7021226,106255.66213,27192,1745.0
2607:f8b0:4005:805::2003,6265955,129809.02043899999,27102,2122.0
104.16.59.5,7134100,66763.41038399999,27029,1049.0
34.236.89.191,1529751,8786.761980000001,24494,138.0
52.5.27.146,2603930,50198.021406000014,24494,828.0
40.78.29.78,2048970,10609.235252999999,23165,165.0
2607:f8b0:4005:806::200e,6545322,145565.530672,22906,2399.0
54.89.186.156,1374469,16844.081658,22476,269.0
104.16.250.144,2812126,18312.986865,20147,276.0
34.193.227.251,5660234,50316.43897399998,19028,808.0
52.109.12.20,1034565,8584.937211,18102,140.0
2607:f8b0:4005:805::200a,3497947,68321.270425,17996,1124.0
23.203.227.141,1070316,5606.471345,15442,90.0
fe80::e96f:45c9:4be7:981f,17287279,312198.30237999995,14926,5115.0
216.98.62.76,3937665,80762.41982899999,14526,1331.0
13.89.220.65,23027002,406576.77897200023,14006,6658.0
104.16.11.231,2272964,14752.616499999998,13348,228.0
104.16.10.231,4744710,105371.07217500001,13241,1741.0
2607:f8b0:4005:802::200e,1061361,10767.012781,13236,156.0
2607:f8b0:4005:80b::200e,1851691,20964.442617999997,12988,330.0
2a04:4e42:2d::403,1099668,9037.455061999999,11125,138.0
2a03:2880:f10d:84:face:b00c:0:14c9,550391,3792.3371779999998,10784,48.0
23.203.229.97,1619553,25036.375667,10162,404.0
2607:f8b0:4005:80a::2003,3057492,59355.66280499999,10072,968.0
108.177.98.188,15391588,271908.54608700005,9801,4456.0
2a03:2880:f10d:183:face:b00c:0:25de,4811155,85173.94754999992,9662,1404.0
13.107.3.128,1330327,7640.927567999999,7930,126.0
2600:1406:1a:393::611,1238056,23714.003610000003,7701,387.0
2600:1406:1a:387::611,118315,1106.049699,7677,13.0
2600:1406:1a:396::57,1002646,18998.223199,7309,315.0
23.203.225.32,531761,2794.012068,7107,45.0
52.232.69.150,1001552,5848.750404000001,7043,96.0
128.32.136.12,1223654,16945.366544,6987,274.0
52.151.59.184,926346,15375.410140000002,6452,252.0
104.16.58.5,5578608,84874.035352,6268,1394.0
12.129.210.52,265872,1651.2750230000001,6218,27.0
13.65.244.143,780294,14787.984088,6066,245.0
151.101.189.140,4080936,27882.078959000006,5837,408.0
2607:f8b0:4005:80b::200a,188135,1573.098342,5619,15.0
198.189.255.199,289348,1788.209121,5594,24.0
198.189.255.139,1188317,21420.091995000002,5541,352.0
54.210.203.42,1974487,47893.34948499999,4919,789.0
54.236.152.205,1211764,19420.210869000002,4405,316.0
2607:f8b0:4005:80a::200a,550334,2868.344847,3935,45.0
2607:f8b0:4005:804::2003,656371,3537.465382,3887,51.0
2607:f8b0:4005:802::2003,751310,6537.287453,3887,101.0
151.101.188.193,2586694,17093.694133999998,3502,258.0
72.21.91.29,939809,16250.782475,2874,268.0
2400:cb00:2048:1::681c:26f,1106465,6303.351747000001,2785,88.0
10.255.239.7,799270,14474.781536,2736,236.0
104.244.42.2,2536313,21097.36199,2673,327.0
199.59.148.73,2525893,20995.631044,2673,327.0
104.244.42.129,2525824,20995.830744999996,2673,327.0
2607:f8b0:4005:807::2003,836158,17180.527931,2300,281.0
2607:f8b0:4005:806::2003,646202,8780.504941,2300,141.0
2607:f8b0:4005:80b::2003,787555,15080.515414,2300,246.0
2600:1406:1a:397::29a7,448314,3846.0757110000004,2129,60.0
2600:1406:1a:38c::29a7,709151,14394.636038999999,2127,236.0
151.101.129.63,1530130,10532.154469999998,1919,159.0
151.101.194.49,949567,5780.758291000001,1451,86.0
151.101.65.140,867408,5213.315205000001,1385,74.0
204.102.114.48,1946982,46698.683616,1375,772.0
2400:cb00:2048:1::6814:2a92,509512,3041.7741349999997,1061,46.0
104.16.13.231,252124,1702.5047140000001,827,22.0
104.16.12.231,253160,1711.738741,827,22.0
2606:2800:220:1410:489:141e:20bb:12f6,177919,1194.830261,809,14.0
2607:f140:400:a023::2,934197,16159.302291,750,266.0
2620:0:863:ed1a::1,135263,955.712822,615,11.0
144.217.66.26,131450,949.19957,534,11.0
52.70.3.66,8198,285.249166,413,0.0
216.58.194.206,7461,260.215608,399,2.0
34.233.195.79,2555,89.680886,193,0.0
10.142.143.68,188425,2657.578515,190,43.0
MurataMa_4f:8a:bb,94685,1347.041753,60,22.0
IntelCor_86:da:c1,94686,1347.041774,42,22.0
