Destination,Length
10.142.143.142,26296
104.154.127.47,29
104.16.10.231,7
104.16.11.231,7
104.16.250.144,2
104.16.58.5,14
104.16.59.5,19
104.16.60.37,95
108.177.98.188,1
12.129.210.52,3
13.107.3.128,5
13.65.244.143,3
13.89.220.65,11
151.101.189.140,5
198.189.255.139,3
198.189.255.199,3
198.189.255.214,126
198.189.255.215,117
204.102.114.48,3
216.98.54.23,7
216.98.62.75,21
216.98.62.76,9
23.203.225.32,3
23.203.227.141,6
23.203.227.178,31
2600:1406:1a:381::11e2,12
2600:1406:1a:387::611,3
2600:1406:1a:393::611,3
2600:1406:1a:396::57,3
2607:f140:400:a023:c4a0:6ac1:218d:34ca,1542
2607:f140:400:a023:e96f:45c9:4be7:981f,8
2a03:2880:f00d:115:face:b00c:0:3,176
2a03:2880:f00d:8:face:b00c:0:1,58
2a03:2880:f027:13:face:b00c:0:2,218
2a04:4e42:2d::403,7
34.193.227.251,21
34.200.200.221,58
34.206.211.125,24
34.236.89.191,3
35.186.224.47,116
40.77.226.249,40
40.78.29.78,12
52.0.133.149,32
52.109.12.20,3
52.151.59.184,4
52.232.69.150,5
52.4.106.84,30
52.5.27.146,3
54.202.63.209,377
54.210.203.42,4
54.227.152.143,40
54.230.147.188,116
54.236.152.205,4
54.89.186.156,6
64.4.54.253,35
64.4.54.254,35
